datetime,open,high,low,close,volume
2018-12-03 00:00:00,116.57,116.96,115.61,116.2,11888.62
2018-12-03 01:00:00,116.2,116.83,115.8,116.37,10647.32
2018-12-03 02:00:00,116.37,116.51,112.67,113.43,31839.01
2018-12-03 03:00:00,113.43,114.13,113.13,114.0,14853.58
2018-12-03 04:00:00,114.0,114.43,113.47,114.11,6810.03
2018-12-03 05:00:00,114.11,114.48,113.4,113.89,8535.6
2018-12-03 06:00:00,113.89,113.96,112.85,113.12,10945.75
2018-12-03 07:00:00,113.12,113.56,109.95,113.42,27681.85
2018-12-03 08:00:00,113.42,114.39,112.67,114.13,10071.58
2018-12-03 09:00:00,114.13,114.65,113.61,113.85,9287.4
2018-12-03 10:00:00,113.85,114.55,113.8,113.88,6253.47
2018-12-03 11:00:00,113.88,113.9,113.25,113.56,6931.41
2018-12-03 12:00:00,113.56,114.5,113.41,114.08,8044.2
2018-12-03 13:00:00,114.08,114.43,113.13,114.11,7405.04
2018-12-03 14:00:00,114.11,114.31,112.0,112.0,9927.61
2018-12-03 15:00:00,112.0,112.14,107.33,108.0,50945.37
2018-12-03 16:00:00,108.0,108.6,106.7,108.26,21861.03
2018-12-03 17:00:00,108.26,108.5,107.75,108.24,10678.29
2018-12-03 18:00:00,108.24,108.62,107.86,108.11,9286.24
2018-12-03 19:00:00,108.11,108.29,107.41,107.72,8176.84
2018-12-03 20:00:00,107.72,108.63,107.13,108.63,13188.9
2018-12-03 21:00:00,108.63,110.34,108.5,110.14,14178.91
2018-12-03 22:00:00,110.14,110.38,108.18,109.07,7951.85
2018-12-03 23:00:00,109.07,109.76,108.43,108.76,7056.11
2018-12-04 00:00:00,108.76,113.2,106.0,109.94,275321.01
2018-12-04 01:00:00,109.09,110.1,109.09,109.63,9081.29
2018-12-04 02:00:00,109.63,109.65,108.71,108.82,6068.06
2018-12-04 03:00:00,108.82,108.98,106.93,108.47,23356.23
2018-12-04 04:00:00,108.47,108.49,107.62,107.99,10732.16
2018-12-04 05:00:00,107.99,108.33,106.93,107.29,10713.74
2018-12-04 06:00:00,107.29,112.34,106.0,111.64,33478.78
2018-12-04 07:00:00,111.64,112.35,110.85,112.35,15967.72
2018-12-04 08:00:00,112.35,113.2,111.18,111.36,13191.7
2018-12-04 09:00:00,111.36,112.16,111.32,111.86,8605.54
2018-12-04 10:00:00,111.86,112.58,110.8,110.96,12048.61
2018-12-04 11:00:00,110.96,111.28,110.5,111.24,10570.76
2018-12-04 12:00:00,111.24,111.49,110.59,110.97,6995.71
2018-12-04 13:00:00,110.97,112.14,110.73,110.96,8795.96
2018-12-04 14:00:00,110.96,112.39,110.95,112.29,12714.22
2018-12-04 15:00:00,112.29,113.2,111.47,112.17,17469.35
2018-12-04 16:00:00,112.17,112.41,110.77,111.31,8408.87
2018-12-04 17:00:00,111.31,111.35,110.11,110.52,11063.05
2018-12-04 18:00:00,110.52,111.13,110.18,111.01,6157.68
2018-12-04 19:00:00,111.01,111.21,110.51,110.7,6390.54
2018-12-04 20:00:00,110.7,110.8,109.46,109.71,8114.98
2018-12-04 21:00:00,109.71,110.6,109.02,110.2,7475.31
2018-12-04 22:00:00,110.2,110.2,109.25,110.05,3999.51
2018-12-04 23:00:00,110.05,110.15,109.27,109.94,5812.54
2018-12-05 00:00:00,109.94,110.58,102.38,102.71,354071.53
2018-12-05 01:00:00,110.1,110.21,108.67,109.02,8573.5
2018-12-05 02:00:00,109.02,109.05,107.0,107.94,22480.3
2018-12-05 03:00:00,107.94,108.12,107.2,107.52,10098.65
2018-12-05 04:00:00,107.52,108.01,106.75,107.49,15585.04
2018-12-05 05:00:00,107.49,108.67,107.13,108.46,8466.92
2018-12-05 06:00:00,108.46,108.46,107.63,108.13,7702.53
2018-12-05 07:00:00,108.13,108.29,106.31,107.14,11750.08
